,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
103,3521,鴻翊國際股份有限公司,鴻翊,電腦及週邊設備業,－,新北市中和區建一路186號10樓,22023793,林泉湧,許貿程,陳怡靜,副總經理,林新盛,82272556,75/03/07,96/08/07,新台幣 10.0000元,472639070,47263907,15000000,0,合併,每年,股東會,永豐金證券股份有限公司,23816288,台北市博愛路17號3F,安永聯合會計師事務所,馬君廷,黃建澤,DataVan,"10F.,NO.186,Jian 1st Rd.,Jhonghe Dist.,New Taipei City,Taiwan",82272330,spokesman@datavan.com.tw,http://www.datavan.com.tw/,陳怡靜,總管理處副總經理,82272556,spokesman@datavan.com.tw,http://www.datavan.com.tw/
104,3523,迎輝科技股份有限公司,迎輝,光電業,－,台南市安南區本田路二段391號,16366341,唐以鄰,呂英宗,呂英宗,總經理,謝志育,(06)3841313,87/01/15,96/11/16,新台幣 10.0000元,618298680,61829868,33000000,0,合併,每年,股東會,台新證券股務代理部,(02)25048125,台北市建國北路一段96號地下一樓,安永聯合會計師事務所,胡子仁,李芳文,EFUN,"No.391,Sec.2,Bentian Rd.,Annan DistrictTainan City 70955,Taiwan R.O.C",(06)3841515,billhsieh@efun.com.tw,Http://www.efun.com.tw,謝志育,財務長,06-3841313#105,billhsieh@efun.com.tw,www.efun.com.tw
105,3526,凡甲科技股份有限公司,凡甲,電子零組件業,－,台灣省新北市中和區中山路三段102號3樓,16691156,游萬益,張一偉,陳忠毅,投資人關係管理處經理,陳巧慧,02 22251688,87/11/06,96/11/02,新台幣 10.0000元,582223790,58222379,0,0,合併,每年,股東會,元大證券(股)公司股務代理部,02-25865859,台北市承德路三段210號地下一樓,勤業眾信會計師事務所,虞成全,陳重成,ALLTOP,"3F., No. 102, Sec. 3, Zhongshan Rd., Zhonghe Dist.New Taipei City 235, Taiwan (R.O.C.)",02 22250882,gladys@otop.com.tw,http://www.otop.com.tw/,陳巧慧,資深專員,22251688#211,gladys@otop.com.tw,http://www.otop.com.tw/zh-tw/Page/stakeholder_explanation#
106,3527,聚積科技股份有限公司,聚積,半導體業,－,新竹市埔頂路18號3樓之5之6,16948543,楊立昌,陳企凱,楊立昌,董事長,陳企凱,03-5790068,88/06/25,96/10/29,新台幣 10.0000元,444451250,44445125,3500000,0,合併,每年,股東會,元大證券股份有限公司,02-2586-5859,台北市承德路三段210號B2,勤業眾信聯合會計師事務所,葉東煇,黃裕峰,MBI,"Floor 6-4, No. 18, Pu-Ting Rd.,Hsinchu , Taiwan, R.O.C.",03-6100086,mbi.ir@mblock.com.tw,https://www.mblock.com.tw/zh-tw,駱姿蓓,協理,03-5790068#8888,mbi.ir@mblock.com.tw,https://www.mblock.com.tw/zh-tw/investordetail/3/4
107,3529,力旺電子股份有限公司,力旺,半導體業,－,新竹縣竹北市台元一街5號8樓(通訊地址),70784292,徐清祥,何明洲,盧俊宏,資深副總經理,張雪華,03-5601168,89/09/02,100/01/24,新台幣 10.0000元,761234420,76123442,0,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,02-23892999,台北市重慶南路1段2號5樓,勤業眾信聯合會計師事務所,黃裕峰,方蘇立,eMemory,"8F, No. 5, Tai-Yuan 1st St., Jhubei City, Hsinchu County 302082, Taiwan,R.O.C.Hsinchu, Taiwan, R.O.C.",03-5601169,ir@ememory.com.tw,www.ememory.com.tw,王譽心,專案經理,03-5601168分機1110,ir@ememory.com.tw,http://www.ememory.com.tw/c/about_csr.php
108,3531,先益電子工業股份有限公司,先益,光電業,－,台中市南屯區工業24路22號,52543363,鄧嘉文,王惠民,方建仁,車燈部經理,游雅靜,04-23590111,68/10/11,97/04/08,新台幣 10.0000元,611750110,61175011,0,0,合併,每年,董事會,永豐金證券股份有限公司,02-23816288,台北市100博愛路17號3樓,安侯建業聯合會計師事務所,吳俊源,郭士華,Shian Yih,"NO. 22, KON YEN 24TH RD. TAICHUNG INDUSTRIAL ESTATETAICHUNG TAIWAN R.O.C",04-23599692,yaching@shianyih.com.tw,www.shianyih.com,方建仁,車燈部經理,04-23590111,andrew@shianyih.com.tw,http://www.shianyih.com/financial-report.html
109,3537,堡達實業股份有限公司,堡達,電子零組件業,－,台北市中山區中山北路2段129號10樓,22625795,黃德聰,李茂洋,白榮生,經理,蕭昌國,02-25219090,76/08/14,99/01/25,新台幣 10.0000元,535647420,53564742,0,0,合併,每年,董事會,華南永昌綜合證券股務代理部,02-27186425,台北市民生東路四段54號4樓,安侯建業會計師事務所,陳眉芳,吳政諺,PODAK,"10F,No.129,Sec.2,Chung Shan N, RoadTaipei ,Taiwan , ROC",02-25236363,pai@podak.com.tw,www.podak.com.tw,白榮生,經理,02-25219090#231,pai@podak.com.tw,www.podak.com.tw/interested_parties/interested_parties.aspx
110,3540,曜越科技股份有限公司,曜越,電腦及週邊設備業,－,台北市內湖區堤頂大道二段185號5樓,70669172,林培熙,林培熙,劉建邦,財務處副總經理,沈昌德,02-8797-5788,88/11/30,96/12/12,新台幣 10.0000元,730665480,73066548,0,0,合併,每年,董事會,永豐金證券股份有限公司,02-2381-6288,100台北市博愛路17號3樓,眾智聯合會計師事務所,林征聖,王智立,Thermaltake,"5F., No.185, Sec. 2, Tiding Blvd., Neihu Dist.,Taipei City, Taiwan",02-8797-8055,service_3540@thermaltake.com.tw,www.thermaltake.com,劉建邦,財務處副總經理,02-8797-5788,ben@thermaltake.com.tw,http://www.thermaltakecorp.com/tw/investor.aspx
111,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
112,3541,西柏科技股份有限公司,西柏,其他電子業,－,新北市中和區建康路130號6樓之5,23975263,蔡正義,許東山,于周仁,股務處協理,黃郁茹,02-22269586,80/01/23,98/12/22,新台幣 10.0000元,567871420,56787142,0,0,合併,每年,董事會,日盛證券股份有限公司,25419977,台北市中山區南京東路二段85號7樓,富鋒聯合會計師事務所,戴維良,顏國裕,CYP,"6F-5, No. 130,Jian,Kang Rd.,Chung Ho City, Taipei Hsien 23585, Taiwan, R.O.CTaipei Hsien 23585, Taiwan, R.O.C",02-22269587,andy@cypress.com.tw,http://www.cypress.com.tw,于周仁,股務處協理,2226-9586#213,andy@cypress.com.tw,http://zh-tw.cypress.com.tw/comsoft.asp
113,3548,兆利科技工業股份有限公司,兆利,電子零組件業,－,新北市新莊區五工五路十三號,27393491,張台沅,張台沅,徐佩文,財務長,李雪玲,02-22982666,93/07/07,97/03/27,新台幣 10.0000元,601213980,60121398,0,0,合併,每年,董事會,永豐金證券(股)公司股務代理部,02-23816288,台北市博愛路17號3樓,安侯建業聯合會計師事務所,許明芳,莊鈞維,JARLLY,"No.13 , Wu gone 5th Rd.Hsin Chung Dist, New Taipei City, Taiwan",02-22901260,investor@jarlly.com,http://www.jarlly.com,徐佩文,財務長,02-22982666#116,investor@jarlly.com,http://www.jarlly.com
114,3551,世禾科技股份有限公司,世禾,其他電子業,－,新竹縣湖口鄉仁政路18號,16044341,陳學聖,陳學哲,陳學哲,總經理,古卉妤,035981100,86/06/23,97/04/15,新台幣 10.0000元,567748900,56774890,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,陳振乾,黃泳華,SHT,"No.18,Renzheng RdHukou Township, Hsinchu County , Taiwan",035986415,martin@sht.com.tw,www.sht.com.tw,古卉妤,代理發言人,035981100#250,juliaku@sht.com.tw,www.sht.com.tw
115,3552,同致電子企業股份有限公司,同致,其他電子業,－,桃園市蘆竹區南青路1156巷9號,55900791,陳信忠,陳信忠,陳聖儒,營運長,陳紹鈞,(03)322-2901,68/12/07,98/01/07,新台幣 10.0000元,855929490,85592949,0,0,合併,每年,董事會,中國信託商業銀行股份有限公司,(02)66365566,台北市中正區重慶南路一段83號5樓,資誠聯合會計師事務所,陳憲正,林佳鴻,TUNG THIH,"No.9, Ln. 1156, Nanqing Rd., Luzhu Dist.,Taoyuan City, Taiwan (R.O.C.)",(03)322-6281,Investors@tungthih.com.tw,www.tungthih.com.tw,陳聖儒,營運長,(03)322-2902分機803,Investors@tungthih.com.tw,www.tungthih.com.tw/investor01.php?show=2
116,3555,重鵬生技股份有限公司,重鵬,半導體業,－,新北市中和區連城路258號4樓之7,80551862,周康記,周康記,廖怡婷,財務長,楊上儀,02-8227-2928,92/09/25,100/11/08,新台幣 10.0000元,257627970,25762797,11767671,0,合併,每年,股東會,康和綜合證券股份有限公司,02-8787-1888,11072台北市信義區基隆路一段176號B1,資誠聯合會計師事務所,葉翠苗,吳郁隆,IROC,"4F.-7, No.258, Liancheng Rd., Zhonghe Dist.,New Taipei City 23553, Taiwan (R.O.C.)",02-8227-2067,ir@iroc.com.tw,www.iroc.com.tw,廖怡婷,財務長,02-82272928#16037,ir@iroc.com.tw,www.iroc.com.tw
117,3556,禾瑞亞科技股份有限公司,禾瑞亞,半導體業,－,台北市內湖區瑞光路302號11樓,80342958,唐錦榮,唐錦榮,辜克文,稽核經理,張志彬,(02)8751-5191,91/09/12,97/04/15,新台幣 10.0000元,612527350,61252735,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業,于紀隆,許明芳,EETI,"11F., No.302, Rueiguang Rd., Neihu District,Taipei City, Taiwan (R.O.C.)",(02)2797-8808,public@eeti.com,www.eeti.com.tw,辜克文,稽核經理,(02)8751-5191#501,public@eeti.com,www.eeti.com.tw
118,3558,神準科技股份有限公司,神準,通信網路業,－,桃園市龜山區復興三路500號,28496495,蔡文河,林伯彰,喻鳳筱,經營管理部副總經理,龐士慧,03-3289289,95/10/12,102/12/30,新台幣 10.0000元,490608810,49060881,0,0,合併,每年,股東會,富邦綜合證券股份有限公司,02-23611300,台北市許昌街17號2樓,資誠聯合會計師事務所,潘慧玲,黃珮娟,Senao Networks,"No.500 Fusing 3rd.,Hwa-Ya Technology ParkKuei-Shan Hsiang,Taoyuan County ,Taiwan",03-3962222,invest@senao.com,https://www.senaonetworks.com/,李普儀,高級專員,(03)3289289轉5807,invest@senao.com,https://www.senaonetworks.com/csr/management-of-csr/
119,3564,其陽科技股份有限公司,其陽,通信網路業,－,(22183)新北市汐止區大同路二段133號9樓,12658515,李昌鴻,林章安,林章安,總經理,王玉惠,(02)86926677,89/10/24,102/12/03,新台幣 10.0000元,591231000,59123100,36000000,0,合併,每年,董事會,凱基證券股份有限公司,(02)23892999,台北市中正區重慶南路一段2號5樓,安侯建業聯合會計師事務所,施威銘,高靚玟,AEWIN,"9F, No. 133, Section 2, Datong Road, Xizhi DistrictNew Taipei City Taiwan, R.O.C.",(02)86926655,investor@aewin.com,www.aewin.com,王玉惠,財務長,(02)86926677,investor@aewin.com,www.aewin.com/zh-hant/stakeholder-service/
120,3567,逸昌科技股份有限公司,逸昌,半導體業,－,新竹縣竹北市新泰路35號4樓之1,12613567,郭嘯華,吳建忠,林榮勳,經理,彭惠絹,03-5544308,89/09/07,99/11/22,新台幣 10.0000元,341270000,34127000,0,0,個別,每年,股東會,日盛證券股份有限公司股務代理部,02-25419977,台北市中山區南京東路二段85號7樓,勤業眾信聯合會計師事務所,陳明煇,鍾鳴遠,ETREND,"4F-1 No.35, Hsin-Tai Road,Chu-Pei City, Hsin-Chu, Taiwan",03-6565732,rock@etrendtech.tw,www.etrendtech.tw,林榮勳,經理,03-5544308,rock@etrendtech.tw,http://www.etrendtech.tw/
121,3570,大塚資訊科技股份有限公司,大塚,資訊服務業,－,新北市板橋區縣民大道二段68號6樓,16088678,鶴見裕信,郭一龍,徐慧如,副總經理,林治明,(02)8964-6668,86/08/04,97/10/23,新台幣 10.0000元,170970000,17097000,0,0,合併,每年,董事會,永豐金證券股份有限公司,02-23816288,台北市博愛路17號3樓,安侯建業聯合會計師事務所,吳美萍,傅泓文,OITC,"6F, No. 68, Sec.2, Xianmin Blvd.Banqiao Dist., New Taipei City , Taiwan",(02)8964-6667,investor@oitc.com.tw,www.oitc.com.tw,林治明,財務主管,(02)89646668,investor@oitc.com.tw,http://www.oitc.com.tw/footer_page/12/42
122,3577,泓格科技股份有限公司,泓格,電腦及週邊設備業,－,新竹縣湖口鄉光復北路111號(新竹工業區),84517297,葉廼廸,陳瑞煜,鄭碧玉,資深經理,彭瓊儀,03-5973366,82/08/06,98/01/06,新台幣 10.0000元,528641770,52864177,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,李燕娜,吳偉豪,ICP DAS,"No. 111, Guangfu N. Rd., Hukou TownshipHsinchu County 30351, Taiwan , R. O. C.",03-5973733,ir@icpdas.com,http://www.icpdas.com/index_en.php,鄭碧玉,發言人,03-5973366#7756,ir@icpdas.com,http://www.icpdas.com/en/investor_relations/stakeholder.php
123,3580,友威科技股份有限公司,友威科,其他電子業,－,桃園市蘆竹區長興里厚生路51號6樓,80072814,李原吉,李原吉,陳繼萱,經理,劉忠炯,(03)2126201,91/11/04,99/07/09,新台幣 10.0000元,394706570,39470657,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,翁雅玲,黃惠敏,UVAT,"6F., No.51, Housheng Rd., Luzhu Dist.Taoyuan City 338, Taiwan (R.O.C.)",(03)2126202,theresachen@uvat.com,www.uvat.com,陳繼萱,經理,(04)25653755,theresachen@uvat.com,http://www.uvat.com/OutWeb/L_CT/stakeholder/sh1.asp
124,3581,博磊科技股份有限公司,博磊,半導體業,－,(304)新竹縣新豐鄉精工路53號,16889100,李篤誠,鄭文杰,林素真,處長,時定森,03-5599999,88/04/09,104/01/20,新台幣 10.0000元,510060000,51006000,0,0,合併,每年,股東會,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號2樓,日正聯合會計師事務所,陳枝凌,陳燦煌,ZVC,"No. 53, Jinggong Rd., Hsin Fong TownshipHsinChu County, Taiwan , R.O.C.",03-5577766,lin_sophie@zenvoce.com,www.zenvoce.com,林素真,處長,035599999分機8566,lin_sophie@zenvoce.com,www.zenvoce.com
125,3587,閎康科技股份有限公司,閎康,其他電子業,－,新竹縣竹北市台元街26-2號1F,79959286,謝詠芬,謝詠芬,李松山,副總,李語心,03-6116678,91/05/14,98/08/18,新台幣 10.0000元,623131570,62313157,0,0,合併,每年,股東會,富邦綜合證券股份有限公司,02-23611300,台北市許昌街17號2F,勤業眾信聯合會計師事務所,林政治,鍾鳴遠,MA-tek,"1F.No.26-2,Tai-Yuen St.,Jubei City,Hsinchu County,Taiwan,R.O.C.",03-5630777,stock@ma-tek.com,http://www.ma-tek.com,李語心,課長,03-6116678,stock@ma-tek.com,http://www.ma-tek.com/zh-tw/investors/index/ir_stakeholder_engagement
126,3594,磐儀科技股份有限公司,磐儀,電腦及週邊設備業,－,新北市中和區中正路700號10樓,84469443,李明,連啟瑞,郭鳳玲,財務協理,連啟瑞,02-82269396,82/10/19,102/05/07,新台幣 10.0000元,744217710,74421771,6683693,0,合併,每年,董事會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,李秀玲,王照明,ARBOR,"10F.,No.700,Zhong Zheng Rd.,Zhong He Dist.,New Taipei City,Taiwan",02-82269398,investor@arbor.com.tw,www.arbor-technology.com,郭鳳玲,財務協理,02-8226-9396,investor@arbor.com.tw,www.arbor-technology.com
127,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
128,3597,映興電子股份有限公司,映興,電子零組件業,－,台中市南屯區工業區19路10號,22306125,賴柄源,賴柄源,林宜嫻,董事長特助,關慧貞,04-23581581,75/11/29,109/03/09,新台幣 10.0000元,391461500,39146150,0,0,合併,每年,股東會,華南永昌綜合證券股份有限公司,02-27186425,台北市民生東路4段54號4樓,資誠聯合會計師事務所,吳松源,劉美蘭,AVI,"No.10,19th Road Industrial,Nuntun Dist.Taichung,Taiwan",04-23581828,lin501214@avertronics.com,http://www.avertronics.com,林宜嫻,董事長特助,04-23581581,lin501214@avertronics.com,http://www.avertronics.com
129,3609,三一東林科技股份有限公司,三一東林,電子零組件業,－,台中市南屯區精科七路20號,13073151,陳睿謙,陳承光,陳承光,總經理,林松均,04-35009325,91/04/22,100/01/11,新台幣 10.0000元,306793870,30679387,0,0,合併,每年,股東會,元大證券股份有限公司,(02)25865859,103432台北市大同區承德路三段210號B1,資誠聯合會計師事務所,洪淑華,王玉娟,HEP,"20 Jingke 7th Rd., Nantun Dist.,Taichung, Taiwan, R.O.C.",04-35009327,Fin@hep-tech.com.tw,www.hepgroup.net,暫缺,暫缺,04-35009325,Fin@hep-tech.com.tw,www.hepgroup.net
130,3611,鼎翰科技股份有限公司,鼎翰,電腦及週邊設備業,－,新北市新店區民權路95號9樓,28624652,王秀亭,王興磊,黃振芳,財務部協理,張啟煌,02-22186789,96/03/19,97/11/26,新台幣 10.0000元,424769400,42476940,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,林文欽,范有偉,TSC AUTO ID,"9F.,No. 95,Minquan Rd.,Xindian Dist.New Taipei City 231, Taiwan (R.O.C.)",02-22185678,jerry_huang@tscprinters.com,http://www.tscprinters.com,黃振芳,財務部協理,02-22186789-3601,jerry_huang@tscprinters.com,www.tscprinters.com
131,3615,安可光電股份有限公司,安可,光電業,－,新竹縣湖口鄉光復北路10號,28812887,葉垂景,姜明君,姜明君,總經理,黃卓凱,03-5986336,96/09/28,98/04/15,新台幣 10.0000元,684669760,68466976,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,安永聯合會計師事務所,徐榮煌,涂嘉玲,AimCore,"No 10 Kuangfu N.Road Hsin Chu Industrial Park ,TaiwanHsin Chu Industrial Park ,Taiwan",03-5978070,service@aimcore.com.tw,www.aimcore.com.tw,黃卓凱,經理,03-598-6336,service@aimcore.com.tw,http://www.aimcore.com.tw/p3-4.htm
132,3623,富晶通科技股份有限公司,富晶通,光電業,－,桃園巿龜山區華亞三路50號6樓之1,70791435,翁明顯,蔡輔原,巫金國,協理,鄭昭生,03-397-8800,89/11/27,99/04/28,新台幣 10.0000元,291859460,29185946,0,0,個別,每年,股東會,凱基證券股份有限公司,02-2389-2999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,張淑瓊,游淑芬,TTI,"6F.-1 No. 50, Hua-ya 3 RD.,Gueishan Dist., Taoyuan County,Taiwan",03-397-8855,service@transtouch.com.tw,http://www.transtouch.com.tw/,巫金國,協理,03-3978800#140,johnson@transtouch.com.tw,http://www.transtouch.com.tw/#stkSection
133,3624,光頡科技股份有限公司,光頡,電子零組件業,－,新竹縣湖口鄉光復北路70號,16130084,蔡高明,胡傳斌,黎順和,副總經理,鄭嘉蓮,035972931,86/10/01,100/03/16,新台幣 10.0000元,1173408420,117340842,0,0,合併,每年,股東會,宏遠證券股份有限公司,0277198899,台北市信義路四段236號3樓,資誠聯合會計師事務所,鄭雅慧,劉倩瑜,VIKING,"No.70,Kuanfu N. Road, Hukou HsiangHsin Chu Hsien303 Tawiwan, R. O. C.",035972935,anitalo@viking.com.tw,http://www.viking.com.tw,黎順和,副總經理,035972931,s3624@viking.com.tw,http://www.viking.com.tw
134,3625,西勝國際股份有限公司,西勝,電腦及週邊設備業,－,新北市新莊區中正路665號5樓,96969724,黃宗偉,黃宗偉,魏駿怡,資深處長,無,(02)29016600,85/05/23,98/10/28,新台幣 10.0000元,905035860,90503586,3800000,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,(02)33930898,台北市忠孝東路2段95號1樓,勤業眾信聯合會計師事務所,郭乃華,李麗凰,C-TECH,"5F, No.665, Zhongzheng Rd.,Xinzhuang District,NewTaipeiCity,Taiwan",(02)29047699,ir@c-techone.com,www.c-techone.com,魏駿怡,資深處長,(02)29016600#236,jerry.wei@c-techone.com,http://www.c-techone.com/CSR/CSR
135,3628,盈正豫順電子股份有限公司,盈正,其他電子業,－,新北市新店區寶高路7巷3號1樓,16444732,許文,許文,林志峰,財務部經理,趙順德,02-29176857,87/04/27,99/09/09,新台幣 10.0000元,450000000,45000000,0,0,合併,每年,董事會,富邦綜合證券股務代理部,02-23611300,台北市許昌街17號2樓,資誠聯合會計師事務所,周筱姿,李秀玲,ABLEREX,"1F, NO. 3, LANE 7, BAOGAO RD., XINDIAN DIST.,NEW TAIPEI CITY, TAIWAN R.O.C.",02-29148126,financial@ablerex.com.tw,www.ablerex.com.tw,林志峰,財務部經理,02-29176857,IR@ablerex.com.tw,http://www.ablerex.com.tw/ch/about_8-4-4.php
136,3630,新鉅科技股份有限公司,新鉅科,光電業,－,台中市后里區后科路一段269號,70748276,鄭勝全,黃子青,趙麗雅,處長,殷長生,04-23696889,88/08/30,99/04/26,新台幣 10.0000元,1841918480,184191848,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-6636-5566,台北市100003中正區重慶南路一段八十三號五樓,安侯建業聯合會計師事務所,郭士華,陳政學,NEWMAX,"No. 269, Sec. 1, Houke Rd. Houli Dist.Tai-Chung City, Taiwan R.O.C",04-23696869,public@newmax.com.tw,http://www.newmax.com.tw,趙麗雅,處長,04-23696889,public@newmax.com.tw,http://www.newmax.com.tw/?page_id=2102
137,3631,晟楠科技股份有限公司,晟楠,電子零組件業,－,桃園市龜山區鄉萬壽路一段161號18樓之1,15979384,林朝榮,林朝榮,林朝榮,董事長,楊品涓,(02)8209-2883,73/04/10,99/12/20,新台幣 10.0000元,818209090,81820909,0,0,合併,每年,股東會,永豐金證券(股)公司股務代理部,(02)23823352,台北市博愛路17號3樓,國富浩華聯合會計師事務所,王戊昌,陳桂美,CHERNAN,"18F.-1, No.161, Sec. 1, Wanshou Rd., Gueishan Dist.,Taoyuan City 333, Taiwan (R.O.C.)",(02)8200-3193,taiwan@chernan.com,http://www.chernan.com,楊品涓,財務經理,(02)8209-2883,cntw.fdm@chernan.com,http://www.chernan.com/home.asp?Pager=Web1/a_5.htm
138,3632,研勤科技股份有限公司,研勤,通信網路業,－,臺北市內湖區港墘路200號4樓,12894047,簡良益,簡良益,陳柏任,財務長,陳俊福,02-87510123,90/09/10,100/01/11,新台幣 10.0000元,408897380,40889738,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96 號B1,廣信益群聯合會計師事務所,黃健豪,彭糸秀娟,PAPAGO,"4F., No.200, Gangcian Rd., Neihu DistrictTaipei City 114, Taiwan (R.O.C.)",02-87511323,service@papagoinc.com,http://www.papagoinc.com,陳柏任,財務長,0287510123,stockholder@papagoinc.com,http://www.papagoinc.com
139,3642,駿熠電子科技股份有限公司,駿熠電,其他電子業,－,台北市內湖區新湖三路196號3樓,23491020,劉憲治,衛純菁,張淑華,財務部資深經理,顏晴宏,(02)2267-8151,78/09/19,100/09/29,新台幣 10.0000元,433686420,43368642,13000000,0,合併,每年,股東會,康和綜合證券(股)公司股務代理部,02-25936666,110台北市信義區基隆路一段176號B1,卓群聯合會計師事務所,葉璨增,曾友龍,Unitel,"3F., No. 196, Xinhu 3rd Rd.,Neihu Dist., Taipei City 114, R.O.C.",(02)2267-8154,Finance@unitelgroups.com,http://www.unitelgroups.com/,張淑華,財務部資深經理,(02)2267-8151,Finance@unitelgroups.com,http://www.unitelgroups.com/Ch/Investor/supervisor.asp
140,3646,艾恩特精密工業股份有限公司,艾恩特,電子零組件業,－,台北市內湖區堤頂大道二段301號5樓,16870474,陳明仁,陳明仁,林佑慈,總辦室秘書,陳靜如,(02)87510777,88/03/11,101/03/27,新台幣 10.0000元,392973710,39297371,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)2381-6288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,吳怡君,黃堯麟,ANT,"5F., No.301, Sec. 2, Tiding Blvd.,Neihu Dist., Taipei City ,Taiwan (R.O.C)",26589166,MiffyLin@ant-precision.com.tw,http://www.ant-precision.com.tw,林佑慈,總辦室秘書,(02)8751-0777,MiffyLin@ant-precision.com.tw,https://www.ant-precision.com.tw/service_1/70.htm
141,3652,精聯電子股份有限公司,精聯,電腦及週邊設備業,－,新北市新店區寶橋路235巷136號5樓,28913512,葉佳紋,徐志達,盧光宏,副總,于性礎,(02)89121122,97/01/15,98/08/27,新台幣 10.0000元,750975000,75097500,0,0,合併,每年,股東會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,安永聯合會計師事務所,郭紹彬,邱琬茹,Unitech elec.,"5FL., NO.136, LANE 235, PAO-CHIAO RD., HSIN-TIEN DIST,NEW TAIPEI CITY, TAIWAN 231, R.O.C.",(02)29113818,invest@tw.ute.com,http://www.ute.com/,盧光宏,副總,(02)89121122#230,invest@tw.ute.com,http://tw.ute.com/investor-relationship.php?rbu=2
142,3663,鑫科材料科技股份有限公司,鑫科,其他電子業,－,高雄市路竹區路科八路1號 ( 通訊地址 ),16827203,黃重嘉,潘永村,潘永村,總經理,林慶鈞,07-6955125,89/03/29,101/11/20,新台幣 10.0000元,734980570,73498057,14541096,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,02-23892999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,王兆群,劉裕祥,TTMC,"NO.1, LUKE 8TH RD., KAOHSIUNG SCIENCE PARK, LUJHU DISTKAOHSIUNG CITY 821, TAIWAN(R.O.C.)",07-6955205,ttmc@e-ttmc.com.tw,www.e-ttmc.com.tw,吳詠琳,資深管理師,07-6955125#1202,wylin@e-ttmc.com.tw,http://goo.gl/dvnP3o
